audio pregunta;0.wav;
Presiona la letra a;1.wav;
Presiona la letra b;2.wav;
Presiona la letra c;3.wav;
Presiona la letra d;4.wav;
Presiona la letra e;5.wav;
Presiona la letra f;6.wav;
Presiona la letra g;7.wav;
Presiona la letra h;8.wav;
Presiona la letra i;9.wav;
Presiona la letra j;10.wav;
Presiona la letra k;11.wav;
Presiona la letra l;12.wav;
Presiona la letra m;13.wav;
Presiona la letra n;14.wav;
Presiona la letra ñ;15.wav;
Presiona la letra o;16.wav;
Presiona la letra p;17.wav;
Presiona la letra q;18.wav;
Presiona la letra r;19.wav;
Presiona la letra s;20.wav;
Presiona la letra t;21.wav;
Presiona la letra u;22.wav;
Presiona la letra v;23.wav;
Presiona la letra doble b;24.wav;
Presiona la letra x;25.wav;
Presiona la letra y griega;26.wav;
Presiona la letra z;27.wav;
"Cuál de estas palabras comienza con ""b""?";28.wav;
"Cuál palabra contiene la letra ""b""?";29.wav;
"Cuál de estas palabras comienza con ""c""?";38.wav;
"Cuál palabra contiene la letra ""c""?";43.wav;
"Cuál de estas palabras comienza con ""d""?";48.wav;
"Cuál palabra contiene la letra ""d""?";53.wav;
"Cuál de estas palabras comienza con ""f""?";58.wav;
"Cuál palabra contiene la letra ""f""?";63.wav;
"Cuál de estas palabras comienza con ""g""?";67.wav;
"Cuál palabra contiene la letra ""g""?";72.wav;
"Cuál de estas palabras comienza con ""h""?";77.wav;
"Cuál de estas palabras comienza con ""j""?";87.wav;
"Cuál palabra contiene la letra ""j""?";92.wav;
"Cuál de estas palabras comienza con ""k""?";97.wav;
"Cuál de estas palabras comienza con ""L""?";102.wav;
"Cuál palabra contiene la letra ""L""?";103.wav;
"Cuál de estas palabras comienza con ""M""?";112.wav;
"Cuál palabra contiene la letra ""M""?";113.wav;
"Cuál palabra contiene la letra ""N""?";122.wav;
"Cuál de estas palabras comienza con ""N""?";123.wav;
"Cuál palabra contiene la letra ""Ñ""?";132.wav;
"Cuál de estas palabras comienza con ""P""?";137.wav;
"Cuál palabra contiene la letra ""P""?";142.wav;
"Cuál de estas palabras comienza con ""Q""?";147.wav;
"Cuál palabra contiene la letra ""Q""?";154.wav;
"Cuál de estas palabras comienza con ""R""?";157.wav;
"Cuál palabra contiene la letra ""R""?";160.wav;
"Cuál de estas palabras comienza con ""V""?";167.wav;
"Cuál palabra contiene la letra ""V""?";174.wav;
"Cuál palabra contiene la letra ""W""?";177.wav;
"Cuál de estas palabras comienza con ""W""?";178.wav;
"Cuál palabra contiene la letra ""X""?";180.wav;
"Cuál de estas palabras comienza con ""Y griega""?";183.wav;
"Cuál palabra contiene la letra ""Y griega""?";186.wav;
"Cuál de estas palabras comienza con ""Z""?";193.wav;
"En cuál de estas palabras  se encuentra la ""A"" como sonido inicial?";203.wav;
"En cuál de estas palabras  se encuentra la ""A"" como sonido final?";213.wav;
"En cuál de estas palabras  se encuentra la ""E"" como sonido inicial?";223.wav;
"En cuál de estas palabras  se encuentra la ""E"" como sonido final?";233.wav;
"En cuál de estas palabras se encuentra la ""I"" como sonido inicial?";243.wav;
"En cuál de estas palabras se encuentra la ""I"" como sonido final?";253.wav;
"En cuál de estas palabras se encuentra la ""O"" como sonido  inicial?";262.wav;
"En cuál de estas palabras se encuentra la ""O"" como sonido final?";272.wav;
"En cuál de estas palabras se encuentra la ""U"" como sonido inicial?";282.wav;
"En cuál de estas palabras se encuentra la ""U"" como sonido final?";292.wav;
"En cuál de estas palabras encontramos el sonido ""M""?";300.wav;
"En cuál de estas palabras encontramos  el sonido ""L""?";310.wav;
"En cuál de estas palabras encontramos el sonido ""P""?";320.wav;
"En cuál de estas palabras encontramos el sonido ""S""?";330.wav;
"En cuál de estas palabras encontramos  el sonido ""D""?";340.wav;
"En cuál de estas palabras encontramos el sonido ""T""?";350.wav;
"En cuál de estas palabras encontramos el sonido ""F""?";360.wav;
"En cuál de estas palabras encontramos el sonido ""N""?";370.wav;
"En cuál de estas palabras encontramos el sonido ""RR""?";380.wav;
"En cuál de estas palabras encontramos  el sonido ""CH""?";390.wav;
"En cuál de estas palabras encontramos el sonido ""Ñ""?";400.wav;
Cuál de las siguientes palabras tiene una sílaba?;410.wav;
Cuál de las siguientes palabras tiene dos sílabas?;414.wav;
Cuál de las siguientes palabras tiene tres sílabas?;419.wav;
Cuál de las siguientes palabras tiene cuatro sílabas?;424.wav;
Cuál de las siguientes palabras tiene cinco sílabas?;429.wav;
Cuántas vocales tiene esta palabra?;434.wav;
Cuántas consonantes tiene esta palabra?;484.wav;
Cuántas palabras tiene esta oración?;534.wav;
;584.wav;
"Qué palabra termina con la misma sílaba que ""Oruga""?";585.wav;
"Qué palabra termina con la misma sílaba que ""Baile""?";586.wav;
"Qué palabra termina con la misma sílaba que ""Camino""?";587.wav;
"Qué palabra termina con la misma sílaba que ""Pelo""?";588.wav;
"Qué palabra termina con la misma sílaba que ""Sillón""?";589.wav;
"Qué palabra termina con la misma sílaba que ""Almohada""?";590.wav;
"Qué palabra termina con la misma sílaba que ""Regalo""?";591.wav;
"Qué palabra termina con la misma sílaba que ""verde""?";592.wav;
"Qué palabra termina con la misma sílaba que ""Perro""?";593.wav;
"Qué palabra termina con la misma sílaba que ""Daniela""?";594.wav;
"Rima ""Vaso"" con...?";595.wav;
"Rima ""Amigo"" con...?";596.wav;
"Rima ""Comida"" con...?";597.wav;
"Rima ""Lápiz"" con...?";598.wav;
"Rima ""Diente"" con...?";599.wav;
"Rima ""Capitán"" con...?";600.wav;
"Rima ""Pastelería"" con...?";601.wav;
"Rima ""Ventanal"" con...?";602.wav;
"Rima ""Colores"" con...?";603.wav;
"Rima ""Películas"" con...?";604.wav;
"Rima ""Biblioteca"" con...?";605.wav;
"Rima ""Cantante"" con...?";606.wav;
"Rima ""Verdura"" con...?";607.wav;
"Rima ""Ripio"" con...?";608.wav;
"Rima ""Correo"" con...?";609.wav;
"Rima ""Manzana"" con...?";610.wav;
"Rima ""Escoba"" con...?";611.wav;
"Rima ""Tigre"" con...?";612.wav;
"Rima ""Frutal"" con...?";613.wav;
"Rima ""Litera"" con...?";614.wav;
Cuál de las palabras rima con confianza?;615.wav;
Cuál de las palabras rima con mensaje?;616.wav;
Cuál de las palabras rima con sentir?;617.wav;
Cuál de las palabras rima con mirar?;618.wav;
Cuál de las palabras rima con mesa?;619.wav;
Cuál de las palabras rima con trueno?;620.wav;
Nos regalaron un perro. al que no le gustaba correr. y de tanto comer y comer. un buen día no se pudo ni mover;621.wav;
Ahora es un deportista. que tiene a todo el vecindario. entusiasmado, porque piensan. que es todo un artista;622.wav;
Mano, mano. Juego de sombras. Juego de enanos.;623.wav;
Mi gato Danzarín. se sienta junto a mí. y cuando terminamos. jugamos en el jardín;624.wav;
Luna lunera. mi niño se está durmiendo. que los luceros del cielo. guarden silencio.;625.wav;
La abuela está mirando. la dulzura de tu cara. y tu me miras callado. con inocencia en tu alma.;626.wav;
"Es un coche viejecito. aparcado en un rincón. que duerme solo la siesta. cuando ""pega"" fuerte el sol.";627.wav;
El perro que ve la escena. ladra y corre muy contento. quiere que le permitan. dormir en el suave asiento.;628.wav;
La araña Valentina. que en un rincón se ha instalado. le tejerá una bufanda. de algodón muy bien hilado.;629.wav;
Un gato muy avispado. ha encontrado la ocasión. de hacer nuevos amigos. y aprovechar un rincón.;630.wav;
El coche está muy contento. de no encontrarse solito. y llora dando las gracias. por tener tantos amiguitos.;631.wav;
Doña Florentina. es una elefante. Que aparte de educada. es elegante.;632.wav;
Le gusta el trinar. de don Mirlo. Para entenderlo. hay que oírlo.;633.wav;
Le gusta la música. y toca la flauta. vive en los sueños. en casa de plata;634.wav;
Es un personaje. de cuento infantil. aparece siempre. para hacerte dormir.;635.wav;
Identifica el artículo que corresponde a la palabra destacada.;636.wav;
Cuál es la palabra correctamente escrita que corresponde en la oración?;661.wav;
"Escribe la palabra que falta utilizando la letra ""Q""";696.wav;
