id;Nivel;pregunta;alternativa 1;alternativa 2;alternativa 3;respuesta;audio pregunta;imagen;Feedback
1;1;;;;;a;Presiona la letra. a;;
2;1;;;;;b;Presiona la letra. b;;
3;1;;;;;c;Presiona la letra. c;;
4;1;;;;;d;Presiona la letra. d;;
5;1;;;;;e;Presiona la letra. e;;
6;1;;;;;f;Presiona la letra. f;;
7;1;;;;;g;Presiona la letra. g;;
8;1;;;;;h;Presiona la letra. h;;
9;1;;;;;i;Presiona la letra. i;;
10;1;;;;;j;Presiona la letra. j;;
11;1;;;;;k;Presiona la letra. k;;
12;1;;;;;l;Presiona la letra. l;;
13;1;;;;;m;Presiona la letra. m;;
14;1;;;;;n;Presiona la letra. n;;
15;1;;;;;ñ;Presiona la letra. ñ;;
16;1;;;;;o;Presiona la letra. o;;
17;1;;;;;p;Presiona la letra. p;;
18;1;;;;;q;Presiona la letra. q;;
19;1;;;;;r;Presiona la letra. r;;
20;1;;;;;s;Presiona la letra. s;;
21;1;;;;;t;Presiona la letra. t;;
22;1;;;;;u;Presiona la letra. u;;
23;1;;;;;v;Presiona la letra. b corta;;
24;1;;;;;w;Presiona la letra. doble b;;
25;1;;;;;x;Presiona la letra. x;;
26;1;;;;;y;Presiona la letra. i griega;;
27;1;;;;;z;Presiona la letra. z;;
28;2;La tía de Sofía es muy bonita.;tía;Sofía;bonita;bonita;¿Cuál de las palabras tiene como inicial la letra b?;;La letra inicial de bonita es b
29;2;Las hojas de los árboles se caen en otoño.;hojas;árboles;otoño;árboles;¿Cuál de las palabras tiene como inicial la letra b?;;
30;2;La escoba de mi tía está muy sucia. ;escoba;tía;sucia;escoba;¿Cuál de las palabras tiene como inicial la letra b?;;
31;2;En el sur de Chile hay lindos bosques. ;sur;Chile;bosques;bosques;¿Cuál de las palabras tiene como inicial la letra b?;;La letra inicial de bosques es b
32;2;Muchas botellas de plástico se reciclan.;botellas;plástico;reciclan;botellas;¿Cuál de las palabras tiene como inicial la letra b?;;La letra inicial de botellos es b
33;2;Carlos toma jarabe para sentirse mejor. ;Carlos;jarabe;mejor;jarabe;¿Cuál de las palabras tiene como inicial la letra b?;;
34;2;El bolso de mi mamá es muy grande y lindo.;bolso;mamá;lindo;bolso;¿Cuál de las palabras tiene como inicial la letra b?;;La letra inicial de bolso es b
35;2;La boca de ese payaso está pintada de rojo.;boca;payaso;rojo;boca;¿Cuál de las palabras tiene como inicial la letra b?;;La letra inicial de boca es b
36;2;Fabián es el mejor amigo de Carlos.;Fabián;amigo;Carlos;Fabián;¿Cuál de las palabras tiene como inicial la letra b?;;
37;2;En mi barrio hay muchas flores en primavera. ;barrio;muchas;primavera;barrio;¿Cuál de las palabras tiene como inicial la letra b?;;La letra inicial de barrio es b
38;2;Mi casa está cerca del colegio.;casa;del;colegio;colegio;¿Cuál de las palabras tiene como inicial la letra c?;;La letra inicial de colegio es c
39;2;Me gusta mucho pintar con lápices de cera.;gusta;pintar;cerca;cerca;¿Cuál de las palabras tiene como inicial la letra c?;;La letra inicial de cerca es c
40;2;Mi colación favortita es el yogurt con cereales.;colación;es;yogurt;colación;¿Cuál de las palabras tiene como inicial la letra c?;;La letra inicial de colaboración es c
41;2;Cuando fui a la playa dimos un paseo en caballo.;dimos;paseo;caballo;caballo;¿Cuál de las palabras tiene como inicial la letra c?;;La letra inicial de caballo es c
42;2;Me encanta la clase de Ciencias Naturales.;Las;Ciencias;Naturales;Ciencias;¿Cuál de las palabras tiene como inicial la letra c?;;La letra inicial de cienicas es c
