Nivel;pregunta;alternativa 1;alternativa 2;alternativa 3;respuesta;audio pregunta;imagen;feedback
1;;;;;a;Presiona la letra a;;
1;;;;;b;Presiona la letra b;;
1;;;;;c;Presiona la letra c;;
1;;;;;d;Presiona la letra d;;
1;;;;;e;Presiona la letra e;;
1;;;;;f;Presiona la letra f;;
1;;;;;g;Presiona la letra g;;
1;;;;;h;Presiona la letra h;;
1;;;;;i;Presiona la letra i;;
1;;;;;j;Presiona la letra j;;
1;;;;;k;Presiona la letra k;;
1;;;;;l;Presiona la letra l;;
1;;;;;m;Presiona la letra m;;
1;;;;;n;Presiona la letra n;;
1;;;;;ñ;Presiona la letra ñ;;
1;;;;;o;Presiona la letra o;;
1;;;;;p;Presiona la letra p;;
1;;;;;q;Presiona la letra q;;
1;;;;;r;Presiona la letra r;;
1;;;;;s;Presiona la letra s;;
1;;;;;t;Presiona la letra t;;
1;;;;;u;Presiona la letra u;;
1;;;;;v;Presiona la letra v;;
1;;;;;w;Presiona la letra doble b;;
1;;;;;x;Presiona la letra x;;
1;;;;;y;Presiona la letra y griega;;
1;;;;;z;Presiona la letra z;;
2;La tía de Sofía es muy bonita.;tía;Sofía;bonita;bonita;"¿Cuál de estas palabras comienza con ""b""?";;"""bonita"" comienza con ""b"""
2;Las hojas de los árboles se caen en otoño.;hojas;árboles;otoño;árboles;"¿Cuál palabra contiene la letra ""b""?";;"""Árboles"" contiene la letra ""b"""
2;La escoba de mi tía está muy sucia.;escoba;tía;sucia;escoba;"¿Cuál palabra contiene la letra ""b""?";;"""Escoba"" contiene la letra ""b"""
2;En el sur de Chile hay lindos bosques.;sur;Chile;bosques;bosques;"¿Cuál de estas palabras comienza con ""b""?";;"""bosques"" comienza con ""b"""
2;Muchas botellas de plástico se reciclan.;botellas;plástico;reciclan;botellas;"¿Cuál de estas palabras comienza con ""b""?";;"""botellas"" comienza con ""b"""
2;Carlos toma jarabe para sentirse mejor.;Carlos;jarabe;mejor;jarabe;"¿Cuál palabra contiene la letra ""b""?";;"""Jarabe"" contiene la letra ""b"""
2;El bolso de mi mamá es muy grande y lindo.;bolso;mamá;lindo;bolso;"¿Cuál de estas palabras comienza con ""b""?";;""" bolso"" comienza con ""b"""
2;La boca de ese payaso está pintada de rojo.;boca;payaso;rojo;boca;"¿Cuál de estas palabras comienza con ""b""?";;"""boca""comienza con ""b"""
2;Fabián es el mejor amigo de Carlos.;Fabián;amigo;Carlos;Fabián;"¿Cuál palabra contiene la letra ""b""?";;"""Fabián"" contiene la letra ""b"""
2;En mi barrio hay muchas flores en primavera.;barrio;muchas;primavera;barrio;"¿Cuál de estas palabras comienza con ""b""?";;"""barrio"" comienza con ""b"""
2;Mi casa está cerca del colegio.;está;del;colegio;colegio;"¿Cuál de estas palabras comienza con ""c""?";;"""colegio"" comienza con ""c"""
2;Me gusta mucho pintar con lápices de cera.;gusta;pintar;cerca;cerca;"¿Cuál de estas palabras comienza con ""c""?";;"""cera"" comienza con ""c"""
2;Mi colación favortita es el yogurt con cereales.;colación;es;yogurt;colación;"¿Cuál de estas palabras comienza con ""c""?";;"""colación"" comienza con ""c"""
2;Cuando fui a la playa dimos un paseo en caballo.;dimos;paseo;caballo;caballo;"¿Cuál de estas palabras comienza con ""c""?";;"""caballo"" comienza con ""c"""
2;Me encanta la clase de Ciencias Naturales.;Las;Ciencias;Naturales;Ciencias;"¿Cuál de estas palabras comienza con ""c""?";;"""ciencias"" comienza con ""c"""
2;A palabras necias oidos sordos;oidos;necias;palabras;necias;"¿Cuál palabra contiene la letra ""c""?";;"""necias""  contiene la letra ""c"""
