Nivel;Curso;Contenido;Instrucciones generales
1;1;Asociación fonema/grafema;Escucha cada oración y fíjate en las palabras subrayadas. Indica cuál de esas palabras tiene la letra que se indica.
2;1;Reconocimiento de letra dentro de palabras dadas;Escucha atentamente
5;1;Ejercicio de prueba;
6;1;Ejercicio consonantes;
3;1;Reconocimiento de fonemas dentro de palabras dadas;Reconoce las siguientes palabras
4;1;Separar palabras en sílabas (conteo);
12;1;Ejercicio ortografia;
14;1;Ejercicio consonantes;
16;1;Ejercicio consonantes;
19;1;Ejercicio consonantes;
20;1;Ejercicio consonantes;
21;1;Ejercicio consonantes;
26;1;Ejercicio consonantes;
