Nivel;pregunta;alternativa 1;alternativa 2;alternativa 3;respuesta;audio pregunta;imagen;;;;;;;;
1;;;;;a;Presiona la letra. a;;;;;;;;;
1;;;;;b;Presiona la letra. b;;;;;;;;;
1;;;;;c;Presiona la letra. c;;;;;;;;;
1;;;;;y;Presiona la letra. i griega;;;;;;;;;
1;;;;;z;Presiona la letra. z;;;;;;;;;
2;La tía de Sofía es muy bonita.;tía;Sofía;bonita;bonita;¿Cuál de las palabras tiene como inicial la letra b?;;;;;;;;;
2;Las hojas de los árboles se caen en otoño.;hojas;árboles;otoño;árboles;¿Cuál de las palabras tiene como inicial la letra c?;;;;;;;;;
2;La escoba de mi tía está muy sucia. ;escoba;tía;sucia;escoba;¿Cuál de las palabras tiene como inicial la letra d?;;;;;;;;;
2;En el sur de Chile hay lindos bosques. ;sur;Chile;bosques;bosques;¿Cuál de las palabras tiene como inicial la letra e?;;;;;;;;;
2;Muchas botellas de plástico se reciclan.;botellas;plástico;reciclan;botellas;¿Cuál de las palabras tiene como inicial la letra f?;;;;;;;;;
2;Carlos toma jarabe para sentirse mejor. ;Carlos;jarabe;mejor;jarabe;¿Cuál de las palabras tiene como inicial la letra g?;;;;;;;;;
2;El bolso de mi mamá es muy grande y lindo.;bolso;mamá;lindo;bolso;¿Cuál de las palabras tiene como inicial la letra b?;;;;;;;;;
3;;amigo;Jaime;;amigo;¿En cuál de estas  dos palabras  se encuentra la a como sonido inicial?;;;;;;;;;
3;;dedo;anillo;;anillo;¿En cuál de estas  dos palabras  se encuentra la a como sonido inicial?;;;;;;;;;
3;;avión;cielo;;avión;¿En cuál de estas  dos palabras  se encuentra la a como sonido inicial?;;;;;;;;;
3;;calle;auto;;auto;¿En cuál de estas  dos palabras  se encuentra la a como sonido inicial?;;;;;;;;;
3;;animal;elefante;;animal;¿En cuál de estas  dos palabras  se encuentra la a como sonido inicial?;;;;;;;;;
3;;amarillo;celeste;;amarillo;¿En cuál de estas  dos palabras  se encuentra la a como sonido inicial?;;;;;;;;;
4;Yo hago las tareas en mi computador.;hago;yo;computador;hago;¿Cuál de las siguientes palabras tiene dos sílabas?;;;;;;;;;
4;Mi mamá pone ropa en la maleta.;mamá;ropa;maleta;maleta;¿Cuál de las siguientes palabras tiene tres sílabas?;;;;;;;;;
4;En el recreo corro jugando a la pelota.;corro;la;pelota;pelota;¿Cuál de las siguientes palabras tiene tres sílabas?;;;;;;;;;
4;La cuncuna come hojas de los árboles.;cuncuna;come;hojas;cuncuna;¿Cuál de las siguientes palabras tiene tres sílabas?;;;;;;;;;
4;La mariposa tiene lindos colores;mariposa;lindos;colores;colores;¿Cuál de las siguientes palabras tiene tres sílabas?;;;;;;;;;
4;Los amigos deben respetarse.;Los;amigos;respetarse;amigos;¿Cuál de las siguientes palabras tiene tres sílabas?;;;;;;;;;
4;Mis hermanitos son menores que yo.;hermanitos;menores;yo;hermanitos;¿Cuál de las siguientes palabras tiene cuatro sílabas?;;;;;;;;;
5;caballo;;;;3;¿Cuántas vocales tiene la siguiente palabra?;;;;;;;;;
5;perro;;;;2;¿Cuántas vocales tiene la siguiente palabra?;;;;;;;;;
5;frutilla;;;;3;¿Cuántas vocales tiene la siguiente palabra?;;;;;;;;;
5;bicicleta;;;;4;¿Cuántas vocales tiene la siguiente palabra?;;;;;;;;;
5;baile;;;;3;¿Cuántas vocales tiene la siguiente palabra?;;;;;;;;;
5;canario;;;;4;¿Cuántas vocales tiene la siguiente palabra?;;;;;;;;;
5;vacaciones;;;;5;¿Cuántas vocales tiene la siguiente palabra?;;;;;;;;;
5;tiburón;;;;3;¿Cuántas vocales tiene la siguiente palabra?;;;;;;;;;
