audio pregunta;0.wav;
Presiona la letra a;1.wav;
Presiona la letra b;2.wav;
Presiona la letra c;3.wav;
Presiona la letra d;4.wav;
Presiona la letra e;5.wav;
Presiona la letra f;6.wav;
Presiona la letra g;7.wav;
Presiona la letra h;8.wav;
Presiona la letra i;9.wav;
Presiona la letra j;10.wav;
Presiona la letra k;11.wav;
Presiona la letra l;12.wav;
Presiona la letra m;13.wav;
Presiona la letra n;14.wav;
Presiona la letra ñ;15.wav;
Presiona la letra o;16.wav;
Presiona la letra p;17.wav;
Presiona la letra q;18.wav;
Presiona la letra r;19.wav;
Presiona la letra s;20.wav;
Presiona la letra t;21.wav;
Presiona la letra u;22.wav;
Presiona la letra b corta;23.wav;
Presiona la letra doble b;24.wav;
Presiona la letra x;25.wav;
Presiona la letra y griega;26.wav;
Presiona la letra z;27.wav;
Cuál de las palabras tiene como inicial la letra b?;28.wav;
Cuál de las palabras tiene como inicial la letra C?;38.wav;
Cuál de las palabras tiene como inicial la letra D?;48.wav;
Cuál de las palabras tiene como inicial la letra F?;58.wav;
En cuál de estas palabras se encuentra la letra G?;67.wav;
En cuál de estas palabras se encuentra la letra H?;77.wav;
En cuál de estas palabras se encuentra la letra J?;87.wav;
En cuál de estas palabras se encuentra la letra K?;97.wav;
En cuál de estas palabras se encuentra la letra L?;102.wav;
En cuál de estas palabras se encuentra la letra M?;112.wav;
En cuál de estas palabras se encuentra la letra N?;122.wav;
En cuál de estas palabras se encuentra la letra Ñ?;132.wav;
En cuál de estas palabras se encuentra la letra P?;137.wav;
En cuál de estas palabras se encuentra la letra Q?;147.wav;
En cuál de estas palabras se encuentra la letra R?;157.wav;
En cuál de estas palabras se encuentra la letra v?;167.wav;
En cuál de estas palabras se encuentra la letra W?;177.wav;
En cuál de estas palabras se encuentra la letra x?;180.wav;
En cuál de estas palabras se encuentra la letra Y griega?;183.wav;
En cuál de estas palabras se encuentra la letra Z?;193.wav;
En cuál de estas  dos palabras  se encuentra la A como sonido inicial?;203.wav;
En cuál de estas  dos palabras  se encuentra la A como sonido final?;213.wav;
En cuál de estas  dos palabras  se encuentra la E como sonido inicial?;223.wav;
En cuál de estas  dos palabras  se encuentra la E como sonido final?;233.wav;
En cuál de estas  dos palabras  se encuentra la I como sonido inicial?;243.wav;
En cuál de estas  dos palabras  se encuentra la I como sonido final?;253.wav;
En cuál de estas  dos palabras  se encuentra la O como sonido  inicial?;262.wav;
En cuál de estas  dos palabras  se encuentra la O como sonido final?;272.wav;
En cuál de estas  dos palabras  se encuentra la U como sonido inicial?;282.wav;
En cuál de estas  dos palabras  se encuentra la U como sonido final?;292.wav;
En cuál de estas  dos palabras encontramos  el sonido M?;300.wav;
En cuál de estas  dos palabras encontramos  el sonido L?;310.wav;
En cuál de estas  dos palabras encontramos  el sonido P?;320.wav;
En cuál de estas  dos palabras encontramos  el sonido S?;330.wav;
En cuál de estas  dos palabras encontramos  el sonido D?;340.wav;
En cuál de estas  dos palabras encontramos  el sonido T?;350.wav;
En cuál de estas  dos palabras encontramos  el sonido F?;360.wav;
En cuál de estas  dos palabras encontramos  el sonido N?;370.wav;
En cuál de estas  dos palabras encontramos  el sonido R?;380.wav;
En cuál de estas  dos palabras encontramos  el sonido CH?;390.wav;
En cuál de estas  dos palabras encontramos  el sonido Ñ?;400.wav;
Cuál de las siguientes palabras tiene una sílaba?;410.wav;
Cuál de las siguientes palabras tiene dos sílabas?;415.wav;
Cuál de las siguientes palabras tiene tres sílabas?;420.wav;
Cuál de las siguientes palabras tiene cuatro sílabas?;425.wav;
Cuál de las siguientes palabras tiene cinco sílabas?;430.wav;
Cuántas vocales tiene la siguiente palabra?;435.wav;
Cuántas consonantes tiene la siguiente palabra?;485.wav;
Cuántas palabras tiene la siguiente oración?;535.wav;
;585.wav;
Identifica el artículo que corresponde a la palabra destacada.;588.wav;
Cómo se escribe correctamente la palabra que falta en la oración?;613.wav;
Escribe la palabra que falta utilizando la letra Q;648.wav;
Elige la forma correcta de escribir la palabra.;690.wav;
Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;748.wav;
carro;778.wav;
caro;779.wav;
careta;780.wav;
enredo;781.wav;
Enrique;782.wav;
arroz;783.wav;
cerro;784.wav;
reloj;785.wav;
ruido;786.wav;
parra;787.wav;
tierra;788.wav;
cariño;789.wav;
barra;790.wav;
Perú;791.wav;
moreno;792.wav;
guitarra;793.wav;
araña;794.wav;
gorro;795.wav;
pared;796.wav;
párrafo;797.wav;
regalo;798.wav;
arruga;799.wav;
toro;800.wav;
robot;801.wav;
ciruela;802.wav;
puerta;803.wav;
maravilla;804.wav;
amarra;805.wav;
racimo;806.wav;
torre;807.wav;
sonrisa;809.wav;
rata;810.wav;
honrado;811.wav;
oreja;812.wav;
caracol;813.wav;
tesoro;814.wav;
pera;815.wav;
farol;816.wav;
narrar;817.wav;
ropa;819.wav;
rico;820.wav;
reja;821.wav;
rueda;822.wav;
arranca;823.wav;
rama;824.wav;
forro;825.wav;
enrollar;826.wav;
rubia;827.wav;
burro;828.wav;
Indica si la palabra subrayada corresponde a un sustantivo común o propio.;829.wav;
Escribe la letra que falta en mayúscula o minúscula según corresponda.;879.wav;
Elige el signo más adecuado para la expresión.;914.wav;
cemento;964.wav;
cebra;966.wav;
sillón;967.wav;
circo;968.wav;
silencio;969.wav;
sirena;970.wav;
secretos;971.wav;
peces;972.wav;
ceja;973.wav;
cereales;974.wav;
cinturón;975.wav;
semana;976.wav;
celular;977.wav;
serpiente;978.wav;
quiosco;979.wav;
equipo;980.wav;
vaquero;981.wav;
raqueta;982.wav;
estanque;983.wav;
parque;984.wav;
mantequilla;985.wav;
mosquito;986.wav;
cosquillas;987.wav;
esqueleto;988.wav;
queso;989.wav;
esquimal;990.wav;
maniquí;991.wav;
quemadura;992.wav;
peluquero;993.wav;
guinda;994.wav;
gelatina;995.wav;
pingüino;996.wav;
girasol;997.wav;
gigante;998.wav;
merengue;999.wav;
desagüe;1000.wav;
antigüedad;1001.wav;
gitana;1002.wav;
gemelas;1003.wav;
madriguera;1004.wav;
guepardo;1005.wav;
guiso;1007.wav;
gente;1008.wav;
río;1011.wav;
repollo;1012.wav;
reunión;1014.wav;
rápido;1015.wav;
regla;1016.wav;
ratones;1017.wav;
perro;1018.wav;
vereda;1019.wav;
aro ;1020.wav;
pirata;1023.wav;
Escribe en plural la palabra;1024.wav;
De una caja de lápices, Camila tomo el lápiz negro. ;1148.wav;
Los leones son feroces. ;1149.wav;
La actriz se probó varios disfraces. ;1150.wav;
En una fiesta había luces de colores. ;1151.wav;
En la iglesia entregaron cruces a los asistentes. ;1152.wav;
Encontramos un nido de codornices. ;1153.wav;
Con mi tío pescamos varios peces en el lago. ;1154.wav;
Las raíces de los árboles ;1155.wav;
Los niños se ven felices jugando en el parque.;1156.wav;
Jaime salto siete veces. ;1157.wav;
Levante una gran piedra y encontré muchas lombrices.;1158.wav;
Los avestruces esconden su cabeza en la tierra. ;1159.wav;
En la clase de arte hicimos antifaces. ;1160.wav;
Los niños son capaces de saltar en un pie. ;1161.wav;
Javier comió un helado con nueces. ;1162.wav;
La gimnasta es esforzada.;1163.wav;
En la película aparece un genio.;1164.wav;
Con perejil  las comidas quedan sabrosas.;1165.wav;
Mi mamá me enseño a tejer.;1166.wav;
Es genial jugar con mi perro.;1167.wav;
Al correr me agito mucho.;1168.wav;
Me gusta la jirafa cuando voy al zoológico.;1169.wav;
El jinete monta su caballo. ;1170.wav;
El gigante nos ve como hormiguitas.;1171.wav;
La gelatina de naranja es la mejor.;1172.wav;
El vendedor es gentil.;1173.wav;
Los monos son ágiles para escalar árboles. ;1174.wav;
Mi chaleco viejo tiene agujeros.;1175.wav;
MI abuela guarda en una cajita sus joyas.;1176.wav;
A mi abuela le gusta tejer. ;1177.wav;
A Josefa le gusta tomar tecito con su abuela.;1178.wav;
Tengo varios lapicitos de colores. ;1179.wav;
Quieres una tacita de té?;1180.wav;
